time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/loss,train/clip_fraction,train/value_loss,train/learning_rate,train/clip_range,train/entropy_loss
4051,144.65313708,136.46,1212416,299,74,0.9889455800876021,-0.0002678249442396918,0.037402466,730,0.19163432717323303,0.216510009765625,2.6279623417300173,0.0003,0.2,-0.7259041287703439
4107,149.085,143.33,1228800,299,75,0.9858955070376396,0.0007138307355489815,0.043233573,740,0.8599169254302979,0.2401611328125,3.0185519998543895,0.0003,0.2,-0.7421560224611312
4156,151.76,153.06,1245184,299,76,0.9867825005203485,0.0005193272256292403,0.043187886,750,0.31336838006973267,0.2389404296875,3.099809834884945,0.0003,0.2,-0.7621552454074845
4208,151.23563708,154.77,1261568,299,77,0.9865617174655199,-0.001077912945584103,0.040821783,760,0.43783435225486755,0.2260498046875,3.131853676238097,0.0003,0.2,-0.7174074435606599
4260,151.7125,153.59,1277952,299,78,0.9868556996807456,-0.0007846025433536852,0.037168235,770,0.18694058060646057,0.208197021484375,2.585955818858929,0.0003,0.2,-0.6873434001812712
4317,151.14,156.14,1294336,299,79,0.9887852044776082,-0.003719606237791595,0.03349234,780,0.35283544659614563,0.18968505859375,2.350147817924153,0.0003,0.2,-0.6780324572813697
4375,144.0325,132.7,1310720,299,80,0.9877407271414995,-0.004668907834638958,0.0349797,790,0.39883825182914734,0.196734619140625,2.616975672589615,0.0003,0.2,-0.6744100885931402
4426,147.715,146.39,1327104,299,81,0.9816052559763193,-0.002392960837642022,0.040987022,800,0.28504806756973267,0.214117431640625,3.97622747347923,0.0003,0.2,-0.7184944051783532
4480,151.18813708,154.97,1343488,299,82,0.9860541978850961,-0.004586590367398458,0.03692704,810,0.5881086587905884,0.213043212890625,2.726097731059417,0.0003,0.2,-0.6961526204599068
4530,156.115,160.43,1359872,300,83,0.9861127436161041,-0.001420565796252049,0.039768755,820,0.25544291734695435,0.218341064453125,2.8147793643409385,0.0003,0.2,-0.6994713812600821
4592,153.895,148.06,1376256,299,84,0.9892320036888123,-0.0023747288640151966,0.035815876,830,0.5471368432044983,0.18392333984375,2.43415916855447,0.0003,0.2,-0.651515547640156
4657,154.7025,151.38,1392640,299,85,0.9869645452126861,-0.0007966021268657642,0.040351342,840,1.1907187700271606,0.192266845703125,2.8435086377430707,0.0003,0.2,-0.6573407411458903
4720,157.5675,155.73,1409024,298,86,0.9887402318418026,-0.000375897811500181,0.03343515,850,0.5505356192588806,0.1755126953125,2.7065280177746898,0.0003,0.2,-0.6630520120728761
4779,165.3825,163.51,1425408,298,87,0.9889957122504711,-0.0025297850557763012,0.030708473,860,0.20557951927185059,0.17276611328125,2.6770864227204583,0.0003,0.2,-0.6620024086325429
4837,162.105,160.07,1441792,298,88,0.9870083685964346,-0.00153693333541014,0.03554089,870,0.6906394362449646,0.184686279296875,2.9414616420399398,0.0003,0.2,-0.6846393062616698
4888,158.5325,157.69,1458176,298,89,0.988989332690835,-0.002967051370978879,0.029969148,880,0.306699275970459,0.17381591796875,2.645197373034898,0.0003,0.2,-0.6575422894908115
4938,158.59063708,153.67,1474560,298,90,0.9902952602133155,-0.00013573642372648463,0.03093533,890,0.3892439305782318,0.181182861328125,2.6071766744717024,0.0003,0.2,-0.6964300769730472
4988,152.065,136.95,1490944,298,91,0.9864175207912922,-0.0020620148614398206,0.0357147,900,0.711834192276001,0.20194091796875,3.1816994511755183,0.0003,0.2,-0.6872236108756624
5042,150.9625,132.06,1507328,298,92,0.9793756194412708,0.0015505017772738938,0.046776503,910,1.5289742946624756,0.221221923828125,4.917579138907604,0.0003,0.2,-0.6847567481221631
5097,154.69813708,135.81,1523712,298,93,0.9798790942877531,-0.0028300620964728297,0.043200437,920,0.7558911442756653,0.2082275390625,4.983857198385522,0.0003,0.2,-0.6434908107155934
5149,154.45813708,152.59,1540096,299,94,0.9812465291470289,-0.0009918883342834306,0.04346057,930,0.6022328734397888,0.211785888671875,4.482466062367894,0.0003,0.2,-0.652658039459493
5205,161.045,164.55,1556480,299,95,0.9790003951638937,0.002648921075342514,0.03807073,940,0.4814947545528412,0.20462646484375,4.236828187562059,0.0003,0.2,-0.7114842207054608
5270,157.42063708,161.51,1572864,298,96,0.9870670922100544,-0.0032763155448265026,0.030895326,950,0.4496374726295471,0.168634033203125,2.867726786970161,0.0003,0.2,-0.6639655436621978
5334,165.0875,171.71,1589248,297,97,0.9876871947199106,-0.001423623080154357,0.03333381,960,0.4383302628993988,0.18643798828125,3.0908496766583995,0.0003,0.2,-0.6926748548867181
5389,165.38063708,159.78,1605632,297,98,0.9879444176331162,-0.0035287992655867128,0.031380396,970,1.0356364250183105,0.177252197265625,2.5312053663656116,0.0003,0.2,-0.7035198500845581
5439,161.59313708,139.94,1622016,298,99,0.9876054599881172,-0.0036672098154667764,0.034160726,980,0.32985347509384155,0.19200439453125,2.846314832055941,0.0003,0.2,-0.7368980528437532
5496,158.385,135.92,1638400,298,100,0.9869864713400602,-0.0028713347428492852,0.036331564,990,0.4148562252521515,0.194952392578125,3.495517316972837,0.0003,0.2,-0.7090090427896939
5554,162.735,156.49,1654784,297,101,0.9849424408748746,0.00038465618144982726,0.038139183,1000,0.746499240398407,0.20247802734375,4.1092648358084265,0.0003,0.2,-0.6765282648731954
5613,158.655,151.28,1671168,297,102,0.9876927323639393,-0.003831342859848519,0.02911352,1010,0.3363465368747711,0.17620849609375,3.245649005670566,0.0003,0.2,-0.7157947510946542
5726,163.255,158.65,1687552,294,103,0.9869290180504322,-0.00333213571793749,0.03446368,1020,0.6805332899093628,0.19166259765625,3.1570031668408776,0.0003,0.2,-0.7443061050027608
5826,153.66,152.73,1703936,292,104,0.986111587844789,-0.0016627086750304442,0.03346103,1030,1.272690773010254,0.18626708984375,3.4477591359056534,0.0003,0.2,-0.7259101211559027
