time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/value_loss,train/n_updates
15036,1516.46,-65.0544,299,275,4505600,0.6430592834949493,0.2,0.03199541,-0.011351115404977463,0.7966101169586182,0.0003,-0.39843791671446527,0.1100341796875,0.9856225479008571,2740
15094,1920.03,-69.09009999999999,299,276,4521984,0.8753833547234535,0.2,0.25795493,-0.022469632242973603,0.06586801260709763,0.0003,-0.43118273820728065,0.31944580078125,0.47014245382306397,2750
15148,1409.22,-63.982,299,277,4538368,0.2910160422325134,0.2,0.04154277,0.00016609304420853733,3.2540953159332275,0.0003,-0.8745734130498022,0.216265869140625,7.346756610414014,2760
15199,1363.26,-63.622600000000006,299,278,4554752,0.5608716011047363,0.2,0.036852892,-0.004345943012594944,1.3562722206115723,0.0003,-0.9197964291088283,0.198675537109375,3.958456203597598,2770
15250,1265.32,-62.6432,299,279,4571136,0.7329967021942139,0.2,0.026579732,-0.010174209940669244,1.9215326309204102,0.0003,-0.6199565791641362,0.145269775390625,2.2503028850391273,2780
15301,1266.25,-62.65249999999999,299,280,4587520,0.7773674875497818,0.2,0.027987204,-0.007972348654766393,0.166127011179924,0.0003,-0.5017608284251764,0.110107421875,1.6438926094735506,2790
15353,1181.74,-61.80740000000001,299,281,4603904,0.9115851446986198,0.2,0.10157634,-0.02643009321509453,-0.09075886011123657,0.0003,-0.42712175347842274,0.40921630859375,0.24879558882948913,2800
15407,1230.63,-62.296299999999995,299,282,4620288,0.5106816291809082,0.2,0.024327997,-0.0034617939125382692,0.1185295581817627,0.0003,-0.5746838437276892,0.136785888671875,3.574554910135339,2810
15464,1169.49,-61.6849,299,283,4636672,0.7998420149087906,0.2,0.0396423,-0.009781139019196416,0.3662785291671753,0.0003,-0.4069224283332005,0.184552001953125,0.984270734634265,2820
15524,1256.61,-62.55610000000001,299,284,4653056,0.7797224670648575,0.2,0.0272882,-0.0102792518609931,0.09786881506443024,0.0003,-0.44750488225836305,0.134210205078125,0.7156534943263978,2830
15571,1256.61,-62.55610000000001,299,285,4669440,0.6063210666179657,0.2,0.066072434,-0.012817175011150539,0.2191370278596878,0.0003,-0.4575107900018338,0.157373046875,1.7988064927820233,2840
15622,1560.25,-65.59250000000002,299,286,4685824,0.9036406129598618,0.2,0.1445269,-0.0035653890463436255,-0.03844119608402252,0.0003,-0.4618304880918004,0.38304443359375,0.06696457998077676,2850
15673,1248.5,-62.474999999999994,300,287,4702208,0.024029910564422607,0.2,0.037538163,0.00059263265793561,3.783393144607544,0.0003,-0.4865963626536541,0.128204345703125,5.422811604954768,2860
15729,991.3,-59.90299999999999,299,288,4718592,0.5625494718551636,0.2,0.027710296,-0.007909522603040387,0.9417510628700256,0.0003,-0.6849336747778579,0.1350830078125,4.503821272472851,2870
15783,1028.25,-60.272499999999994,299,289,4734976,0.7882548719644547,0.2,0.026556423,-0.010013092877306918,0.31480881571769714,0.0003,-0.36921525625512003,0.1044189453125,2.491182552999817,2880
15839,1050.86,-60.448499999999996,299,290,4751360,0.889256939291954,0.2,0.077462465,-0.022336764316423795,-0.010193660855293274,0.0003,-0.34738243687606885,0.311712646484375,0.8150822866808085,2890
15889,1225.8,-62.1478,300,291,4767744,0.8146704882383347,0.2,0.11223464,0.0012872106100985548,0.2544482350349426,0.0003,-0.24416106019634753,0.07728271484375,0.7328798313406878,2900
15946,1225.8,-62.1478,300,292,4784128,0.7268611192703247,0.2,0.04721546,-0.015172025025458424,-0.04681818559765816,0.0003,-0.30708164760435464,0.22801513671875,0.45224968886723216,2910
16004,1359.73,-63.4871,299,293,4800512,0.9227960631251335,0.2,0.063364744,0.006497815094189718,-0.046043381094932556,0.0003,-0.3983444201556267,0.443438720703125,0.05059347410469854,2920
16057,1294.49,-62.83469999999999,299,294,4816896,0.35970282554626465,0.2,0.05211948,0.009264310829530586,-0.0033243559300899506,0.0003,-0.2887125482549891,0.131036376953125,0.8942146655361285,2930
16113,1509.88,-64.98859999999999,299,295,4833280,0.3485122323036194,0.2,0.030557066,-0.006089568926108768,1.9997285604476929,0.0003,-0.32171403238899077,0.180462646484375,2.2527634162423054,2940
16162,1518.72,-65.077,300,296,4849664,0.16592907905578613,0.2,0.025841795,-0.006004340810795839,0.4382660686969757,0.0003,-0.2569022662588395,0.088397216796875,2.2463321102171903,2950
16216,1636.15,-66.25130000000001,300,297,4866048,0.3368028402328491,0.2,0.045731712,-0.0010041199577244698,0.29804760217666626,0.0003,-0.2739710215595551,0.18880615234375,0.9195462599649545,2960
16281,1865.77,-68.54749999999999,299,298,4882432,0.6519309878349304,0.2,0.025406342,-0.003433768592913111,0.385861337184906,0.0003,-0.28574340988998304,0.08504638671875,1.1977968305407558,2970
16334,1924.8,-69.1378,299,299,4898816,0.7110863029956818,0.2,0.0371233,-0.0053739830011181764,0.1492825448513031,0.0003,-0.36513356405775993,0.11884765625,1.543003074362059,2980
16387,2066.84,-70.5582,299,300,4915200,0.799015462398529,0.2,0.091634415,-0.010162536521056609,-0.04376519098877907,0.0003,-0.34299661276163534,0.203387451171875,0.896089486685014,2990
